img, img1, img2, ann
/home/nayara/Documentos/TrackNet/Dataset/Clip13/0233.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip13/0232.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip13/0231.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip13/0233.png
/home/nayara/Documentos/TrackNet/Dataset/Clip35/0209.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip35/0208.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip35/0207.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip35/0209.png
/home/nayara/Documentos/TrackNet/Dataset/Clip21/0064.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0063.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0062.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip21/0064.png
/home/nayara/Documentos/TrackNet/Dataset/Clip21/0236.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0235.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0234.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip21/0236.png
/home/nayara/Documentos/TrackNet/Dataset/Clip21/0631.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0630.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip21/0629.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip21/0631.png
/home/nayara/Documentos/TrackNet/Dataset/Clip31/0557.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip31/0556.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip31/0555.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip31/0557.png
/home/nayara/Documentos/TrackNet/Dataset/Clip25/0330.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip25/0329.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip25/0328.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip25/0330.png
/home/nayara/Documentos/TrackNet/Dataset/Clip66/0013.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip66/0012.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip66/0011.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip66/0013.png
/home/nayara/Documentos/TrackNet/Dataset/Clip53/0029.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip53/0028.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip53/0027.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip53/0029.png
/home/nayara/Documentos/TrackNet/Dataset/Clip71/0087.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip71/0086.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip71/0085.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip71/0087.png
/home/nayara/Documentos/TrackNet/Dataset/Clip1/0018.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0017.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0016.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip1/0018.png
/home/nayara/Documentos/TrackNet/Dataset/Clip54/0368.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0367.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0366.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip54/0368.png
/home/nayara/Documentos/TrackNet/Dataset/Clip68/0322.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip68/0321.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip68/0320.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip68/0322.png
/home/nayara/Documentos/TrackNet/Dataset/Clip36/0220.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip36/0219.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip36/0218.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip36/0220.png
/home/nayara/Documentos/TrackNet/Dataset/Clip24/0137.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip24/0136.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip24/0135.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip24/0137.png
/home/nayara/Documentos/TrackNet/Dataset/Clip1/0005.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0004.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0003.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip1/0005.png
/home/nayara/Documentos/TrackNet/Dataset/Clip1/0035.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0034.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip1/0033.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip1/0035.png
/home/nayara/Documentos/TrackNet/Dataset/Clip41/0149.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0148.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0147.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip41/0149.png
/home/nayara/Documentos/TrackNet/Dataset/Clip19/0425.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip19/0424.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip19/0423.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip19/0425.png
/home/nayara/Documentos/TrackNet/Dataset/Clip20/0045.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip20/0044.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip20/0043.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip20/0045.png
/home/nayara/Documentos/TrackNet/Dataset/Clip81/0047.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip81/0046.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip81/0045.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip81/0047.png
/home/nayara/Documentos/TrackNet/Dataset/Clip18/0080.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip18/0079.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip18/0078.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip18/0080.png
/home/nayara/Documentos/TrackNet/Dataset/Clip70/0028.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip70/0027.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip70/0026.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip70/0028.png
/home/nayara/Documentos/TrackNet/Dataset/Clip4/0016.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip4/0015.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip4/0014.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip4/0016.png
/home/nayara/Documentos/TrackNet/Dataset/Clip5/0044.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip5/0043.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip5/0042.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip5/0044.png
/home/nayara/Documentos/TrackNet/Dataset/Clip28/0299.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip28/0298.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip28/0297.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip28/0299.png
/home/nayara/Documentos/TrackNet/Dataset/Clip41/0078.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0077.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0076.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip41/0078.png
/home/nayara/Documentos/TrackNet/Dataset/Clip7/0134.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0133.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0132.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip7/0134.png
/home/nayara/Documentos/TrackNet/Dataset/Clip54/0543.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0542.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0541.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip54/0543.png
/home/nayara/Documentos/TrackNet/Dataset/Clip20/0108.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip20/0107.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip20/0106.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip20/0108.png
/home/nayara/Documentos/TrackNet/Dataset/Clip32/0346.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip32/0345.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip32/0344.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip32/0346.png
/home/nayara/Documentos/TrackNet/Dataset/Clip38/0034.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip38/0033.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip38/0032.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip38/0034.png
/home/nayara/Documentos/TrackNet/Dataset/Clip35/0048.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip35/0047.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip35/0046.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip35/0048.png
/home/nayara/Documentos/TrackNet/Dataset/Clip38/0013.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip38/0012.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip38/0011.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip38/0013.png
/home/nayara/Documentos/TrackNet/Dataset/Clip7/0248.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0247.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0246.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip7/0248.png
/home/nayara/Documentos/TrackNet/Dataset/Clip7/0362.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0361.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0360.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip7/0362.png
/home/nayara/Documentos/TrackNet/Dataset/Clip65/0086.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip65/0085.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip65/0084.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip65/0086.png
/home/nayara/Documentos/TrackNet/Dataset/Clip67/0075.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip67/0074.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip67/0073.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip67/0075.png
/home/nayara/Documentos/TrackNet/Dataset/Clip24/0076.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip24/0075.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip24/0074.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip24/0076.png
/home/nayara/Documentos/TrackNet/Dataset/Clip41/0193.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0192.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip41/0191.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip41/0193.png
/home/nayara/Documentos/TrackNet/Dataset/Clip5/0090.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip5/0089.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip5/0088.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip5/0090.png
/home/nayara/Documentos/TrackNet/Dataset/Clip74/0007.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip74/0006.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip74/0005.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip74/0007.png
/home/nayara/Documentos/TrackNet/Dataset/Clip74/0086.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip74/0085.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip74/0084.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip74/0086.png
/home/nayara/Documentos/TrackNet/Dataset/Clip79/0258.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip79/0257.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip79/0256.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip79/0258.png
/home/nayara/Documentos/TrackNet/Dataset/Clip7/0260.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0259.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip7/0258.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip7/0260.png
/home/nayara/Documentos/TrackNet/Dataset/Clip54/0564.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0563.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip54/0562.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip54/0564.png
/home/nayara/Documentos/TrackNet/Dataset/Clip72/0070.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip72/0069.jpg,/home/nayara/Documentos/TrackNet/Dataset/Clip72/0068.jpg,/home/nayara/Documentos/TrackNet/GroundTruth/Clip72/0070.png
